user,date,comment
seismatter,28/09/2018,"For the most up to date earthquake information, see the USGS event page. For more details on the impact of this earthquake, see this AP article.

This M7.5 earthquake was shallow and only 50 miles north of the city of Palu (~200k), so a large population would have experienced strong shaking. Heavy rains might make triggered landslides more likely. The fault that ruptured was strike-slip and on land *so a significant tsunami would not be triggered. [*Clarification: Reports of a local tsunami are coming in, which is still possible from strike-slip fault motion. The NTWC (https://www.tsunami.gov/) shows no warning since no tsunami impact is expected in the broader region that they oversee.] USGS currently has this as Yellow PAGER alert, meaning significant fatalities (10-100 people) and economic losses ($10-100 million) are possible.

A M6.1 foreshock resulted in one fatality and 10 injured, along with damage to houses.

Collapsed houses due to the mainshock are now being reported.

Local tsunami reported (video), after their geophysical agency lifted the tsunami warning. Landmarks have been identified in this video to be Palu and the billboard is for a legislative candidate running for this current election. Be cautious of unverified information.

This local tsunami is larger than what is expected for a strike-slip fault. With further analysis of the data USGS has settled on a almost perfectly North-South oriented fault that would have ruptured. This is consistent with the mapped Palu-Koro fault. The sides of that fault (red line) would have moved past each other, meaning the motion or push to create a wave would be oriented in a N-S direction too. Looking at the map, the southern part of the red line ends by a narrow bay also oriented roughly N-S. The city of Palu, where the video was filmed, is at the head of this bay. Tsunami waves can be greater in height in a narrow channel or harbor than on an open coastline. These factors could have contributed to the larger than expected local tsunami impact. Alternatively, and completely speculatively, triggered landslides can also cause tsunamis especially in a narrow bay such as the 1958 megatsunami at Lituya Bay in Alaska."
reverendmoist,28/09/2018,Great comment. Any word on the tsunami source? Underwater landslide?
masam,28/09/2018,"Seismologist, here.

Take a look at the geography of Palu, there's that giant peninsula sticking out about 100 km north of Palu.

There was left-lateral strike slip motion on an almost perfectly north-south fault that runs just along the coast. That peninsula happens to lie on the opposite side of the fault as the rest of that whole mountain arc, and it's sticking out perpendicular to the coast.

I'm curious if the strength of the tsunami wasn't just caused by block motion and Palu's unfortunate location at the end of a north-south bay, but maybe that peninsula acted as a literal wave machine, plowing the water column as it slid southward?"
slayertip,28/09/2018,"Anyone know if theres any cell phone coverage at the moment? i can imagine the signals are tough since everyones calling everyone, been trying to call my dad for the past hour, idk where he is in indonesia, but hopefully he stays safe"
rirumore,28/09/2018,"no, dude. only one operator barely works there. I pray for the safety of your dad too"
slayertip,28/09/2018,"thank you, he's meant to return back home to melbourne in two days, i miss him :/ its been a rough few months without him."
purpleyam,28/09/2018,Once you drive out of that tiny city signal becomes choppy. Beyond it is some really remote parts of Sulawesi.
fapfabs,28/09/2018,how is there no tsunami warning on www.tsunami.org when the vids clearly show some?
tobbyforester,28/09/2018,"Comment here gives some speculation. In short: the tsunami might be due to an earthquake-triggered landslide to the ocean, or due to the fault line being along a bay and tsunami being very localized to just one end of the bay. Bay acting as a ""funnel"" to increase tsunami height."
dr_dry,28/09/2018,"well ..BMKG (Indonesian counterpart of USGS) is currently lifting the tsunami alert,

i dont know about the wave that hitting the coastline is counted as tsunami, the wave heights is just about 3m."
drychicken,28/09/2018,"True, but 3m wall of water will fuck your day up fast. Hope everyone is ok"
dr_dry,28/09/2018,yup..thank god that wave didnt get more higher
kaptainkeel,28/09/2018,"From what I've seen, it's likely due to the end of the fault that slipped being in a shallow bay. Shallower water = higher tsunami, meaning you could have a local tsunami in the bay (where the most popular video from Palu was taken at) while not having a regional tsunami."
frediesweeter,28/09/2018,"Thing is, strike slips, even of this magnitude don’t usually cause tsunamis. I read there have been heavy rains there, so perhaps a large landslide in the bay, like that tsunami in Greenland last fall."
hairycactus,28/09/2018,"It was a localized tsunami ""wave-train"" caused by a cascading underwater landslide in Palu Bay, triggered by earthquake tremors (main shock & aftershocks) -- see the report excerpted at the bottom. As of 29 Sep 2018 morning Palu time, the death toll was 384. The search teams have not finished uncovering & counting all the bodies. UDPATE (29 Sep 2018, 10.50 pm Palu time): Death toll is now at least 405.

As opposed to the 26 Dec 2004 Indian Ocean tsunami which was caused by a displacement of a large volume of seawater due to vertical movements of a megathrust fault just off Aceh, the tectonic fault implicated in the Palu quake is a strike-slip fault with largely horizontal movement, which normally won't trigger tsunamis.

This is probably why the local authorities lifted the tsunami warning, ie. after confirming the location of the epicentre & ascertaining the type of fault involved.

Also, I happened to see a ChannelNewsAsia 'live' TV report last night (~10.30 pm Palu time) where the American geologist Kerry Sieh was interviewed on webcam. At that time, there was still no info as to what really caused the tsunami. When asked why the Palu authorities ""prematurely"" lifted the tsunami warning, Prof Sieh said something to the effect that it was probably because no tsunami was observed at Palu more than 40 mins after the 7.5-magnitude main shock had occurred.

The TV report further indicated that the tsunami lasted only a very short time -- the seawater started receding after some 15-20 mins."
mugaiwaralee,28/09/2018,Why does this post have literally TENS OF THOUSANDS of fewer upvotes than the small blurb about Trump? What is wrong with this sub? THIS is world news. Not what the POTUS had for breakfast.
freeradical,28/09/2018,Very clearly being manipulated for political propaganda.
myne,28/09/2018,"Trump says tsunamis are bad.

Wapo: Here's why tsunamis are good.

Politfact: Mostly false

BBC: Trump says tsunami bad, war to come

CNN: Anderson Cooper reporting live from inside a tsunami

Buzzfeed: 10 hilariously stupid things Trump said today"
modestradio,28/09/2018,Jesus 7.5 is humongous. Let's hope there is not a tsunami and very low casulties!
rirumore,28/09/2018,"my parents and most of my families are still in there. And all of communication line (except 1 operator, XL) got cut off, but according to my friend, barely, we can connect to them. I just got called by my mom for 11 seconds before it got cut again. ;___;

edit: my relatives who can be contacted said it still keeps happening. God, my parents."
rizarizariza,28/09/2018,"I hope your family is okay, bro. I saw the pictures of falling homes and damage buildings, it's saddening."
rirumore,28/09/2018,"thanks bro, I hope the same"
seldon,28/09/2018,All those fucking cars full of people behind the row of buildings at the end
majoun,28/09/2018,inside the mosque look at the people praying start to sway when the earthquake hits
mec26,28/09/2018,"How screwed is Reddit’s algorithm/US’s press that I’m only seeing this almost 24 hours after the hit?

America is so self-centered right now."
paul,28/09/2018,"Earthquakes topple homes, prompt Indonesia tsunami warning"
purpleyam,28/09/2018,"Man, there aren't many buildings there to take shelter during a tsunami. Most are low rise hotels that has 10 levels maybe, around 10 or 20 of them. And this mall has only four levels or so."
trowzers,28/09/2018,"Looking at the area on Google streetview, the vast majority of buildings there are only 1 storey and it's a very flat area so not many places to run to quickly. The lack of followup stories coming out of the city is also very worrying."
robin,28/09/2018,bridge collapsed followed by tsunami.
doublepenetrating,28/09/2018,Hope people are alright
parkster,28/09/2018,Hoping for the best for all and loved ones in Indonesia and other parts affected
ghoste,28/09/2018,Thank god someone on this finally posted about this... came on here to read more about a catastrophe and had to scroll through a mile of lefty anti trump porn to find something that actually deserves to be on this sub.
Leberkleister13,28/09/2018,I hope the carnage is minimal.
adam,28/09/2018,Don't watch the video in that case... It looks pretty bad.
Leberkleister13,28/09/2018,"Saw them, doesn't look good."
oddlyamused,28/09/2018,Buried under trump and russia spam.
yogibreakdance,28/09/2018,Is it the first tsunami/earthquake in Palu history? I was thinking to go there for diving actually....
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
,28/09/2018,
