user,date,comment
Sachin,17 Aug 2018 11:49,"Updates I received this morning from Thrissur district side;1. The main highway connecting Coimbatore to Ernakulam had been blocked by heavy land slide in the ghat section of Kuthiran. Yesterday the queue of vehicles extended nearly 15kms on both sides. Some trucks, including a rescue truck from TN's Fire Brigade got trapped in the land slide. Now they have cleared one line of the highway and vehicles are slowly being released. How ever the advice is avoid travel if you can.2. There was also severe water logging in the western side of Thrissur town, which cut off the road access from Kozhikode side through Edappal & Valanchery. The water has subsided a bit, and now the route is open for some minimum amount of road traffic.3. There was also heavy rise of water in the Bharathapuzha river which forced the police to close the road bridge at Cheruthuruthi, cutting off access to the district from the near by Palakkad district. UlanBatori wrote:General request to stay off social media in Malloostan because there are increasing reports of people stranded in rising waters, trying to get through to rescuers and vice versa. I saw someone posting emergency relief numbers on Whastapp and suggesting to CALL THOSE Numbers!! True, there is severe panic as well. The number of people who have stuck on the 1st floor of the buildings is really high. Unfortunately there was no one to tell these people that moving up one level up their buildings is a problem. They should have evacuated when the ways to get out were still open. But what has happened as happened, so the KL govt. is also trying to rush in boats from the coastal areas (the fishermen volunteering) to be used in such areas. But whether such boats can navigate through buildings etc. is a big question.The gyan I hear from veterans (with close govt. experience!) is that donations to the CM's fund will go to CPIM/DYFI kitty and Onam celebrations for Party hacks. ....Someone said Kerala govt is raising price of hooch (main source of revenue) to fund relief. Now THERE's one way to spell Relief...This news seems to be trickling down to more people. When Okhi hurricane hit KL's coastal belt, the central government had given relief funds worth 100 crore. The story is that 70% of them went for non-Okhi relief activities. The state government also had jacked up the money value of losses, which the central govt. had promptly caught.Yes, liquor tax rates have gone up from 23% to 27%. This was officially confirmed by the state CM. Pretty much the whole state is flooded and the state government hopes that the boozers of KL would ""hear the call of duty"" and promptly queue up in front of the liquor outlets.This also gives me an indication on the financial mess the state is in. Relief funds raised by raising liquor prices!! I have tried my two paisa worth by helping in local charity organisations & youth clubs. Feel it would be better than feeding the every hungry CPI(M)/DYFI goons.arshyam wrote:More rain on the way...From what I get from the ground, rains have kept away from many districts and sun has risen up. All these districts still remain in ""red alert"" mode, though. There are still 100s of requests for rescue coming in.Does anyone know if this is an official site? https://keralarescue.in/It is. This is the official channel to put up rescue/SoS calls. This web site was launched primarily to be the single point to raise calls for help. Volunteers pull out data from this site and then plan the rescue activities. But what is happening is that people are also sharing phone numbers of NDRF officers and Navy divers etc. These numbers may be incorrect, or such officials may not be willing to do resuce based on these ""unscheduled calls"". They seem to work with a plan in hand.Dileep wrote:Sabarimala Temple is isolated, with the chief priest and assistants there. No way for devotees or anything else to reach there. The CT here is that Lord Ayyappa got angry on the supreme court case for women entry, and asserted his supreme authority by denying access to everyone.. Yes, indeed. And I also don't here the cries of ""let every one enter Sabari Mala"" off late. Lord Ayyappah really wishes to be left alone. From what I got from the media; only the chief priest and few staff is there at the temple. Even the head priest (considered to be a father figure of the diety) is stuck up at a forest camp, and he could not reach the temple for the opening ceremony. Police is now turning back every Ayyappa devotee from areas like Nilakkal & Pampa."
nvishal,17 Aug 2018 12:19,1) Anyone knows the cause? More rain than usual this year?2) I understand that areas have been water logged. Is it receding or adding?3) Has any agency released satellite pics of the affected areas? Affected population size? I'm not familiar with the names posted here and a geo map will be of greater help.
Sachin,17 Aug 2018 12:53,"nvishal wrote:1) Anyone knows the cause? More rain than usual this year?Yes the rain fall (especially in the catchment areas of the dams) have been very high. This led to dams getting opened, which then also increased water flow in the rivers. It has been nearly 20+ years since dams have opened up and released so much water. During these 20+ years lots of homes,flats etc. also got built very near to the rivers, assuming that the rivers would never rise up to the current levels. In the hill districts of Kerala there were also big time encroachments and deforestation. In such areas there were also land slides, which led to many deaths. Buildings were constructed in unsafe areas and land slides just demolished the buildings. In one case a tourist resort was built on such encroached land, clearly flouting the ""stop memos"" from the government. This year around the resort was cut off and tourists had to be rescued by NDRF/Army. From what I understand casualties are more due to land slides etc; more than due to flooding.2) I understand that areas have been water logged. Is it receding or adding?In certain districts rains have stopped and water is receding. Thrissur & Malappuram districts are seeing more of sun today. But from Dileep et.al looks like some Southern districts are again facing problems. The dams up stream may have to release more water as there has been heavy rainfall in the catchment areas.3) Has any agency released satellite pics of the affected areas? Affected population size? I'm not familiar with the names posted here and a geo map will be of greater help.[/quote]There were some pictures said to be released by Coast Guard on the areas near Kochi which was flooded."
Arima,17 Aug 2018 12:53,"Dileep wrote:Report from Ground One (10 kliks away from Ground Zero):Sabarimala Temple is isolated, with the chief priest and assistants there. No way for devotees or anything else to reach there. The CT here is that Lord Ayyappa got angry on the supreme court case for women entry, and asserted his supreme authority by denying access to everyone.unbelievable, that emotion can turn to such level.I support women of all age right to pray to lord and any person from any caste to become priest."
Dileep,17 Aug 2018 14:03,"^^Your support means what it is worth! Sir! This is the Floods thread onlee.The cause is heavy and incessant rains all over the state, due to a depression in the Bay of Bengal. It literally pulled the warm moist air from the IOR and dumped all the moisture here. So much of water came down the rivers and spread all over."
Sachin,17 Aug 2018 14:06,"Kerala rains | Live updates: Death toll at 164, relief from heavy rains expected from Aug 19---Sachin wrote:1. The main highway connecting Coimbatore to Ernakulam had been blocked by heavy land slide in the ghat section of Kuthiran. ..... Now they have cleared one line of the highway and vehicles are slowly being released. This route is now blocked again as land slides happened this morning as well. There is once again a big traffic jam out here which may take 1-2 days to clear.The biggest challenge from what I can see from social media is that there are too many people to be rescued and the the rescue teams are much less in number and unable to cope up. Old people stuck up on the first floor of their houses, entire population of a women's hostel needing rescue etc; the teams are unable to handle all this. KL is a place where politics is added into any thing (good or bad) but luckily so far; people have kept politics aside."
Sachin,17 Aug 2018 14:38,As per the latest reports Hon. Supreme Court and the Central Govt. have taken a stance against TN state government's plan of maintaining the water level of Mullaiperiyar dam at around 142 ft. SC wants water level at Mullaperiyar dam reduced by 3 ft..But if the water is released from Mullaiperiyar it should land up in the reservoir of the huge dam at Idukki. And the water would have to be released from there as well. Hope KL Govt. manages this with adequate precautions.
Arima,17 Aug 2018 16:51,"Dileep wrote:^^Your support means what it is worth! Sir! This is the Floods thread onlee.The cause is heavy and incessant rains all over the state, due to a depression in the Bay of Bengal. It literally pulled the warm moist air from the IOR and dumped all the moisture here. So much of water came down the rivers and spread all over.yes, the time is for rescue and relief and not to go into wrath of god kind of statements."
UlanBatori,17 Aug 2018 17:24,"Current status: ""No work, shop area is flooded and police won't allow access; {no answer to question of whether they have anything to eat, but power is on and Internet (WhatsApp) is on}. Rain has decreased."" Cause? ""When we locked the shop at 7PM there was no water on the road; it was after 10PM that the water came"" (and it rose 4 feet on the road!!) It was the biss-poorly-planned, abrupt release of water from the dams. Musharrafs should roll for it, starting with the Chief Minister. Here is the ominous indicator: The Big Honchos of (*****, hot-shot prime residential area with 15-foot boundary walls and mansions) had to go to refugee camp in a lorry in the middle of the night. {Incl. ppl in burkhas.} Only when the water touched his feet did (The Big Patriarch) decide to move. Whatever else, Malloos maintain their sense of humor and courage. The blocked drains had already caused problems by July and many had been cleared, but not all. Chalta hain.Construction was based on 2-year Flood Plain, not 100-Year Flood Plain as is required in Ulan Bator. This shows why: Every 100 years, the 100-Year Flood Plain DOES get flooded. Now no problem for next 100 years, chalta hain onlee. Except that the best, winning weather prediction algorithm is: today's weather same as yesterday's, next year's same as this year's. Funny thing is that the spanking new 4-lane Coimbatore-Kochi Super Highway's Tunnel Through The Kuthiran (yet to be opened) comes out at a level that is lower than the present road. Like 50 feet lower. And the 'Net just went down there, terminating the call ...."
UlanBatori,17 Aug 2018 18:14,"Arima wrote:...yes, the time is for rescue and relief and not to go into wrath of god kind of statements.The word ""CT"" means ""Conspiracy Theory"". Pls look it up. Avoid pompous preaching please. The Sabarimala issue before the Supreme Court is a bit more complex than a CNN/Indian Express level of discussion."
Sachin,17 Aug 2018 18:45,"From what I glean from multiple sources. Things have started stabilising in districts like Malappuram, people have actually started going back to their homes. Water subsiding in parts of Kozhikode rural dt. as well. But situation is grave in Chalakkudy, Paravur and some parts of Alwaye (all areas in Thrissur & Ernakulam Rural Dt.).UlanBatori wrote:Whatever else, Malloos maintain their sense of humor and courage. On this part; there has been many trolls on Mallika Sukumaran (M/o movie actor Prithwiraj Sukumaran) going about in her prized Lamborgini (which she said was having problems in KL roads)."
UlanBatori,17 Aug 2018 19:11,"The pic of the lady holding an umbrella while being her rescuers wade through chest-deep muddy water, says it all about Modern Malloostan. Wonder that she didn't have her ""thozhis"" holding the umbrella for her while she chatted on her Smart Phone."
SaiK,17 Aug 2018 19:25,"I have my mother moved out. she is safe now with her brother, only after she returns back I'd be able to find out what happened /state of her home. We need ISRO pics of entire Kerala [all water clogged areas] now. Going forward, storm water drain system must calculate worst-case overflows, capacity, increase depth+width, new channels, etc.This story would be true for all other cities - Chennai Flood #2 will happen soon., and we are going to experience the fury of ""altered weather pattern"" across the globe."
Bart S,17 Aug 2018 19:34,"UlanBatori wrote:Arima wrote:...yes, the time is for rescue and relief and not to go into wrath of god kind of statements.The word ""CT"" means ""Conspiracy Theory"". Pls look it up. Avoid pompous preaching please. The Sabarimala issue before the Supreme Court is a bit more complex than a CNN/Indian Express level of discussion.So why peddle conspiracy theories here in the first place, and then get annoyed when someone calls BS on it? Dileep wrote:The CM of Tamil Nadu has shown his culture. Enough said. I don't want to restart the fight now.And what culture would that be? I am in TN and the whatsapp groups that I am part of are full of activity with organizing relief materials. My colleague who is on vacation in Kanyakumari district is volunteering across the border (though the area is not that badly affected). If you don't want to 'restart the fight' please desist from taking casual potshots and making generalizations in the first place. As others have said, lets stick to being of use and avoid contentious topics."
UlanBatori,17 Aug 2018 20:32,"What I am hoping for, is a pic of those plastic bags full of chicken innards that appear every morning on the roadside, floating about inside the Palace of the Chief Minister to go with the chicken-s*** already resident there. All*h has certainly dictated a pretty thorough washing of Gawd's Own Country. A good place to start moving forward."
nvishal,17 Aug 2018 20:56,"Rivers and its tributaries. Mullaperiyar dam marked in red.Looking at the stagnant water in aerial photos, it will take time for the soil to absorb it. At least generator pumps can be used to clear the water to set up temporary relief camps.On a side note, the tributaries reminded me of the tributaries in bangaldesh(not that bad) where india waited till December to march.Sachin wrote:From what I glean from multiple sources. Things have started stabilising in districts like Malappuram, people have actually started going back to their homes. Water subsiding in parts of Kozhikode rural dt. as well. But situation is grave in Chalakkudy, Paravur and some parts of Alwaye (all areas in Thrissur & Ernakulam Rural Dt.).Most of these areas are in 13, 14 and 15 regions, so north kerala"
Sachin,17 Aug 2018 21:07,"nvishal wrote:Looking at the stagnant water in aerial photos, it will take time for the soil to absorb it. At least generator pumps can be used to clear the water to set up temporary relief camps.Relief camps are being setup at the right places. In each of the affected areas there are also places at a higher elevation. But this is a massive calamity which the state has not seen for many many decades. Now what is happening is that i) many people have their mobile phones completely out of power ii) in many of the houses there are aged/handicapped people with not much physically fit youngsters around. From the latest reports Chengannur (Alappey Dt.) and Chalakkudy (Thrissur Dt.) are in more grave situation. More rescue helicopters and bigger boats are to be put into operation from tomorrow."
nvishal,17 Aug 2018 21:21,Topographical view with regions experiencing water logging. Water flowing from hills to plainshttps://www.google.co.uk/maps/@10.68524 ... a=!5m1!1e4The death toll has now gone up to 324 and over 2 lakh people have been shifted to more than 1500 relief camps 13 of the 14 districts affectedso far 80 dams have been openedhttps://www.businesstoday.in/current/ec ... 81390.html
Sachin,17 Aug 2018 21:40,ToI Cartoon on Kerala Floods
Bart S,17 Aug 2018 21:56,"I don't usually refer people to Rediff, but this link has useful consolidated info and links:http://www.rediff.com/news/special/want ... 180817.htm"
SaiK,17 Aug 2018 21:57,"The death toll is total, since May due to rains., not just the recent floods after accumulations."
